"","dataid","clusterid","block","Nhh","Nlt18","Ncomp","momage","momheight","momeduy","dadeduy","dadagri","landacre","hfias","hfiacat","tubewell","watmin","storewat","treatwat","latown","latslab","latseal","latfeces","potty","humfeces","humfecesch","hwsw","hwss","hwsws","roof","walls","floor","cement","elec","asset_radio","asset_tvbw","asset_tvcol","asset_refrig","asset_bike","asset_moto","asset_sewmach","asset_phone","asset_tv","asset_wardrobe","asset_table","asset_chair","asset_clock","asset_khat","asset_chouki","asset_mobile","n_asset_mobile","hwcat"
"76","28906","289",2,5,2,5,35,151.4,9,10,0,1.23,4,"Moderately Food Insecure",1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,3,1
"77","28907","289",2,3,1,5,21,147.2,5,0,0,0.01,8,"Severely Food Insecure",1,5,1,0,0,NA,NA,NA,0,0,0,NA,NA,NA,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,NA
"78","28908","289",2,5,3,7,22,146,9,6,0,0.03,9,"Moderately Food Insecure",0,0,1,0,0,1,0,1,0,0,0,NA,NA,NA,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA
"79","29001","290",2,5,2,5,36,156.45,5,5,0,0.08,0,"Food Secure",1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,2,1
"80","29002","290",2,4,1,13,27,147.1,3,0,0,0.04,0,"Food Secure",1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,2,1
"81","29003","290",2,5,3,5,32,141.9,5,0,0,0.04,0,"Food Secure",1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1
"82","29004","290",2,2,0,6,20,153.75,4,3,0,0.02,8,"Moderately Food Insecure",0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
"83","29005","290",2,4,0,6,40,158.05,0,0,0,0.02,5,"Mildly Food Insecure",0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1
"84","29006","290",2,3,1,3,24,NA,9,8,0,0.03,0,"Food Secure",0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,2,1
"85","29007","290",2,6,1,6,20,142.3,9,5,0,0.09,0,"Food Secure",1,2,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,3,1
"86","29008","290",2,3,1,11,22,148.15,6,4,0,0.03,0,"Food Secure",1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1
"87","29101","291",2,7,2,9,19,150,5,9,0,0.05,0,"Food Secure",0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,2,1
"88","29102","291",2,7,1,11,27,152.6,3,0,0,0.07,0,"Food Secure",1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1
"89","29103","291",2,5,3,11,32,153.7,0,0,0,0.03,5,"Moderately Food Insecure",1,10,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
"90","29104","291",2,5,2,5,26,152.6,5,0,0,0.02,8,"Moderately Food Insecure",0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1
"91","29105","291",2,2,0,2,25,145.05,5,0,0,0.09,0,"Food Secure",1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,2,1
"92","29106","291",2,3,1,8,22,NA,5,0,0,0.01,0,"Food Secure",1,2,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"93","29107","291",2,6,4,21,30,157.45,0,2,0,0.02,6,"Moderately Food Insecure",1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1
